product_detail_id,product_id,product_name,product_price,product_stock,product_category,product_description,product_group_id
1,1001,"Wireless Noise-Cancelling Headphones",149.99,125,"Electronics","High-quality wireless headphones with advanced noise-cancelling technology for immersive audio experience.",1
2,1002,"4K Ultra HD Smart TV",799.99,78,"Electronics","Stunning 4K display with smart TV features and seamless integration with popular streaming platforms.",2
3,1003,"Robotic Vacuum Cleaner",299.99,92,"Home Appliances","Intelligent robotic vacuum cleaner with advanced sensors and mapping capabilities for efficient cleaning.",6
4,1004,"Fitness Tracker Smartwatch",99.99,201,"Wearables","Sleek and lightweight smartwatch with comprehensive fitness tracking and health monitoring features.",5
5,1005,"Programmable Coffee Maker",79.99,63,"Home Appliances","Customizable coffee maker with scheduling and pre-brewing options for the perfect cup of coffee.",6
6,1006,"Gaming Laptop",1499.99,45,"Electronics","High-performance gaming laptop with powerful GPU, large storage, and immersive display.",8
7,1007,"Cordless Power Drill",89.99,154,"Tools","Versatile cordless power drill with multiple speed settings and long-lasting battery life.",9
8,1008,"Smartphone with 5G Connectivity",699.99,118,"Electronics","Flagship smartphone with advanced 5G technology, cutting-edge camera system, and impressive battery life.",3
9,1009,"Smart Home Hub",59.99,82,"Home Automation","Centralized smart home hub that enables voice control, automation, and integration of various connected devices.",1
10,1010,"Hybrid Electric Bicycle",1199.99,29,"Sports & Outdoors","Eco-friendly hybrid electric bicycle with pedal-assist technology and a long-range battery.",7
11,1011,"High-Efficiency Washing Machine",699.99,68,"Home Appliances","Energy-efficient and spacious washing machine with advanced features for better cleaning and fabric care.",6
12,1012,"Portable Bluetooth Speaker",49.99,156,"Electronics","Compact and versatile Bluetooth speaker with powerful sound and long-lasting battery.",2
13,1013,"Smart Thermostat",99.99,102,"Home Automation","Intelligent thermostat that learns user preferences and optimizes energy usage for improved home comfort.",1
14,1014,"Mirrorless Camera with Interchangeable Lenses",899.99,41,"Electronics","Compact and lightweight mirrorless camera with a high-quality image sensor and versatile lens options.",3
15,1015,"Robot Lawn Mower",699.99,35,"Home Appliances","Fully autonomous robot lawn mower with advanced navigation and mapping capabilities for effortless lawn maintenance.",6
16,1016,"Virtual Reality Headset",399.99,72,"Electronics","Immersive virtual reality headset with high-resolution displays and responsive motion tracking.",2
17,1017,"Smart Air Purifier",199.99,84,"Home Appliances","Advanced air purifier with real-time air quality monitoring and efficient filtration for healthier indoor environments.",1
18,1018,"Electric Scooter",499.99,58,"Transportation","Foldable and portable electric scooter with a long-range battery and intuitive riding experience.",7
19,1019,"Wireless Charging Pad",39.99,131,"Electronics","Efficient wireless charging pad for compatible smartphones and devices.",1
20,1020,"Smart Sprinkler Controller",99.99,93,"Home Automation","Wi-Fi-enabled smart sprinkler controller that optimizes water usage based on weather conditions and plant needs.",6
21,1021,"Cordless Vacuum Cleaner",199.99,112,"Home Appliances","Powerful and versatile cordless vacuum cleaner with long-lasting battery and various attachments.",6
22,1022,"Smart Lighting Bulbs",24.99,205,"Home Automation","Energy-efficient smart lighting bulbs that can be controlled and customized via a mobile app.",1
23,1023,"Outdoor Security Camera",129.99,79,"Home Automation","Weatherproof outdoor security camera with motion detection and night vision capabilities.",1
24,1024,"Electric Toothbrush",79.99,138,"Personal Care","Advanced electric toothbrush with multiple brushing modes and a rechargeable base.",5
25,1025,"Wireless Charging Station",59.99,92,"Electronics","Multi-device wireless charging station for convenient charging of smartphones, earbuds, and other compatible devices.",1
26,1026,"Smart Doorbell",99.99,67,"Home Automation","Wi-Fi-enabled smart doorbell with video camera, motion detection, and two-way audio communication.",1
27,1027,"Fitness Exercise Bike",399.99,43,"Sports & Outdoors","Stationary exercise bike with interactive training programs, performance tracking, and connectivity to fitness apps.",7
28,1028,"Smart Irrigation Controller",149.99,74,"Home Automation","Intelligent irrigation controller that optimizes water usage based on weather data and plant needs.",6
